numero_sequencial;descricao_cargo;nome_urna;descricao_cor_raca;descricao_estado_civil;descricao_genero;descricao_grau_instrucao;sigla_uf_nascimento;nome_partido;sigla_partido;patrimonio;total_votos_brasil
190000628463;DEPUTADO ESTADUAL;ANDRE VEIGA;BRANCA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PATRIOTA;PATRI;0;124
190000624655;DEPUTADO FEDERAL;ERICA NASCIMENTO;PARDA;CASADO(A);FEMININO;ENSINO MEDIO COMPLETO;RJ;PARTIDO REPUBLICANO PROGRESSISTA;PRP;0;467
190000626427;DEPUTADO ESTADUAL;VALBER TINOCO;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO REPUBLICANO BRASILEIRO;PRB;3956055,2;5242
190000626318;DEPUTADO FEDERAL;CAP BARBARA;BRANCA;CASADO(A);FEMININO;ENSINO MEDIO COMPLETO;RJ;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PRTB;150000;0
190000607452;DEPUTADO FEDERAL;JEFFERSON LEITE;PARDA;DIVORCIADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO TRABALHISTA BRASILEIRO;PTB;20000;1189
190000607824;DEPUTADO FEDERAL;MACABU;PARDA;CASADO(A);MASCULINO;ENSINO FUNDAMENTAL COMPLETO;RJ;PARTIDO SOCIAL CRISTAO;PSC;18000;739
190000624744;DEPUTADO ESTADUAL;TUNINHO;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO REPUBLICANO PROGRESSISTA;PRP;0;454
190000626220;DEPUTADO ESTADUAL;EVARISTO SOARES;BRANCA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PRTB;3559702,34;2458
190000626215;DEPUTADO ESTADUAL;BRUNO BARBOSA;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PRTB;0;2124
190000611475;DEPUTADO ESTADUAL;MARCUS NAVAL;PARDA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PROS;0;3890
190000601334;DEPUTADO ESTADUAL;KADU;BRANCA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PROGRESSISTAS;PP;5000;275
190000615534;DEPUTADO FEDERAL;FERNANDO LOPES;BRANCA;DIVORCIADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO DEMOCRATICO TRABALHISTA;PDT;680052,02;6389
190000626359;DEPUTADO ESTADUAL;DARCI DO PRADO;PRETA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;MG;PARTIDO REPUBLICANO BRASILEIRO;PRB;0;101
190000626486;DEPUTADO ESTADUAL;PAULO TEIXEIRA;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO REPUBLICANO BRASILEIRO;PRB;325000;11026
190000618127;DEPUTADO ESTADUAL;ROBINHO ANDRADE;PARDA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO TRABALHISTA CRISTAO;PTC;0;128
190000616200;DEPUTADO FEDERAL;CHIQUINHO BRAZAO;BRANCA;CASADO(A);MASCULINO;ENSINO FUNDAMENTAL COMPLETO;RJ;AVANTE;AVANTE;3410669,65;25817
190000626195;DEPUTADO ESTADUAL;MARIO DO CONSELHO;PRETA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PRTB;0;1833
190000621057;DEPUTADO ESTADUAL;MARCIO AMARELINHO;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PODEMOS;PODE;0;651
190000610758;DEPUTADO ESTADUAL;DALILA;PRETA;SOLTEIRO(A);FEMININO;SUPERIOR COMPLETO;RJ;PARTIDO COMUNISTA DO BRASIL;PC DO B;0;0
190000624656;DEPUTADO FEDERAL;ALEXANDRE DAVID;PARDA;DIVORCIADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO REPUBLICANO PROGRESSISTA;PRP;3500;0
190000603304;DEPUTADO ESTADUAL;QUIEL CANARINHO;PARDA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;RJ;SOLIDARIEDADE;SOLIDARIEDADE;39000;2012
190000628300;DEPUTADO ESTADUAL;SERGINHO JORNALISTA;BRANCA;DIVORCIADO(A);MASCULINO;ENSINO MEDIO COMPLETO;MG;PARTIDO DA REPUBLICA;PR;25000;81
190000613059;DEPUTADO ESTADUAL;ANDRE DO TAXI;BRANCA;SOLTEIRO(A);MASCULINO;SUPERIOR INCOMPLETO;RJ;AVANTE;AVANTE;250000;5714
190000614908;DEPUTADO FEDERAL;TIO XANDY;BRANCA;CASADO(A);MASCULINO;SUPERIOR INCOMPLETO;RJ;PARTIDO DA MULHER BRASILEIRA;PMB;0;1672
190000616123;DEPUTADO ESTADUAL;MAJOR MATIAS;BRANCA;DIVORCIADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO DA MOBILIZACAO NACIONAL;PMN;106800;1056
190000614964;DEPUTADO FEDERAL;SOEL;PRETA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO TRABALHISTA CRISTAO;PTC;0;2087
190000628310;DEPUTADO ESTADUAL;PROFESSOR JIMMY CORREA;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO DA REPUBLICA;PR;438705,58;4763
190000604145;DEPUTADO FEDERAL;JOSE MUNIZ;BRANCA;SEPARADO(A) JUDICIALMENTE;MASCULINO;ENSINO MEDIO COMPLETO;RJ;PODEMOS;PODE;72000;3271
190000629941;DEPUTADO FEDERAL;RAQUEL CARVALHO;PRETA;SOLTEIRO(A);FEMININO;ENSINO MEDIO COMPLETO;RJ;PATRIOTA;PATRI;0;0
190000608671;DEPUTADO ESTADUAL;CLAUDIA MOLINARO;BRANCA;CASADO(A);FEMININO;SUPERIOR COMPLETO;RJ;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB;0;158
190000614628;DEPUTADO ESTADUAL;CRIS SOLOAGA;PARDA;SOLTEIRO(A);FEMININO;ENSINO MEDIO COMPLETO;RJ;PARTIDO SOCIAL LIBERAL;PSL;10469,03;1223
190000628323;DEPUTADO FEDERAL;JAILTON NOBREGA;PARDA;SOLTEIRO(A);MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PB;PATRIOTA;PATRI;100;1242
190000618421;DEPUTADO ESTADUAL;MARIA MACHADO;BRANCA;DIVORCIADO(A);FEMININO;ENSINO MEDIO COMPLETO;RJ;MOVIMENTO DEMOCRATICO BRASILEIRO;MDB;750000;34
190000626374;DEPUTADO FEDERAL;AUGUSTO CESAR;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO REPUBLICANO BRASILEIRO;PRB;2742349,57;531
190000622747;DEPUTADO FEDERAL;EDUARDO COSTA DA SAUDE;BRANCA;SEPARADO(A) JUDICIALMENTE;MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO PATRIA LIVRE;PPL;1736668,59;304
190000606079;DEPUTADO FEDERAL;RENE MELO;PARDA;CASADO(A);MASCULINO;LE E ESCREVE;RJ;PARTIDO HUMANISTA DA SOLIDARIEDADE;PHS;0;0
190000615519;DEPUTADO FEDERAL;SUSY ANTUNES;BRANCA;CASADO(A);FEMININO;SUPERIOR COMPLETO;RJ;PARTIDO DEMOCRATICO TRABALHISTA;PDT;0;1024
190000628268;DEPUTADO FEDERAL;CRISTINA MEL;BRANCA;CASADO(A);FEMININO;SUPERIOR COMPLETO;RJ;PATRIOTA;PATRI;0;9882
190000614784;DEPUTADO ESTADUAL;WAGNER FRANCO;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO SOCIAL LIBERAL;PSL;0;0
190000612992;DEPUTADO ESTADUAL;MARCO RUFINO;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;AVANTE;AVANTE;0;50
190000607951;DEPUTADO ESTADUAL;JAVAN;PRETA;CASADO(A);MASCULINO;SUPERIOR INCOMPLETO;RJ;PARTIDO SOCIAL DEMOCRATICO;PSD;0;41
190000611160;DEPUTADO ESTADUAL;PROFESSORA CLARICE;PRETA;CASADO(A);FEMININO;SUPERIOR COMPLETO;RJ;PARTIDO DOS TRABALHADORES;PT;81000;7492
190000618379;DEPUTADO ESTADUAL;GRACA;PARDA;CASADO(A);FEMININO;ENSINO MEDIO COMPLETO;ES;MOVIMENTO DEMOCRATICO BRASILEIRO;MDB;788357,21;12173
190000614914;DEPUTADO FEDERAL;GLAUCIO SANTOS;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO DA MULHER BRASILEIRA;PMB;0;1505
190000614900;DEPUTADO ESTADUAL;LUIZ PIMENTEL;BRANCA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO DA MULHER BRASILEIRA;PMB;0;1515
190000629030;DEPUTADO ESTADUAL;DR. JONES;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;AVANTE;AVANTE;32000;455
190000618150;DEPUTADO ESTADUAL;NATHALIA LIMA;PARDA;SOLTEIRO(A);FEMININO;ENSINO MEDIO COMPLETO;RJ;PARTIDO TRABALHISTA CRISTAO;PTC;0;2
